Number of words in the file = 1063
Number unique  words in the file = 497
means                   1
media                   2
million                 1
millions                2
mobile                  2
monday                  1
more                    3
most                    2
motivation              1
move                    1
mr                      2
much                    2
muscular                1
nation                  1
nationalism             1
nations                 1
negotiate               1
never                   1
new                     1
newly                   1
no                      2
norms                   1
not                     8
noticeably              1
now                     2
number                  1
of                     34
official                2
officials               1
on                     11
once                    1
one                     2
online                  1
operations              1
opposition              1
or                      1
other                   3
other's                 1
outburst                1
over                    1
own                     3
page                    1
partly                  1
partners                1
parts                   1
party's                 1
past                    1
people                  3
perhaps                 1
pitch                   1
placed                  1
players                 1
plug                    1
policies                1
policy                  1
political               5
politicized             2
post-google             1
potential               1
power                   1
predicted               1
premier                 1
pressure                2
principle               1
privately               1
problems                1
professor               1
profits                 1
prominence              1
promoted                1
prove                   1
provider                1
proxy                   1
publicly                2
pulling                 1
pushing                 1
put                     2
qiang                   1
quickly                 1
rail                    1
range                   1
rapid                   1
recession               1
redirecting             1
reinforced              1
release                 1
released                1
remained                1
remaining               1
replacement             1
research                1
rest                    2
restrictions            1
right                   1
rights                  1
rise                    2
rivals                  1
robust                  1
round                   1
rule                    1
run                     1
said                   13
sales                   1
same                    1
saw                     1
say                     1
says                    1
scholar                 1
sciences                1
sclerotic               1
scrapping               1
search                  3
sector                  1
sectors                 1
see                     1
seemingly               1
seen                    1
serious                 1
sheer                   1
should                  1
shut                    1
simply                  2
site                    1
skyscrapers             1
smooth                  1
so                      1
social                  1
society                 1
soft-power              1
software                1
some                    4
sophisticated           1
sovereignty             1
space                   2
spurred                 1
stage                   1
staggered               1
stagnate                1
stance                  2
states                  1
steadily                1
steep                   1
stifle                  1
still                   1
stop                    1
studies                 1
submitting              1
substantial             1
sully                   1
supervision             1
support                 1
system                  1
taiwan                  1
talks                   1
technology              4
tens                    1
than                    1
that                   24
the                    62
their                   5
they                    7
think                   1
thinking                1
third-rail              1
this                    6
those                   2
though                  1
through                 1
tibet                   1
tightened               2
time                    1
times                   1
to                     27
topics                  1
tougher                 1
toward                  1
trade                   1
traditional             1
transplant              1
treating                1
tsinghua                1
tuesday                 2
under                   2
understand              1
united                  1
university              1
unstoppable             2
up                      1
us                      1
used                    1
users                   3
uses                    2
variegated              1
vast                    1
very                    2
view                    1
viewed                  1
vitriol                 1
want                    1
was                     3
weaken                  1
web                     6
well                    2
west                    3
western                 2
what                    3
when                    1
which                   3
who                     1
wide                    1
widely                  1
will                    7
with                   12
within                  1
without                 2
won't                   1
world                   2
world's                 3
worst                   1
would                   1
xiao                    2
xingdong                1
xuetong                 1
yan                     1
years                   1
yunquan                 1
zhang                   1


Frequency table sorted by frequence ...

the                    62
of                     34
to                     27
that                   24
its                    21
and                    20
in                     20
china                  17
a                      15
it                     15
as                     14
chinese                14
is                     14
said                   13
china's                12
internet               12
with                   12
on                     11
google                  9
an                      8
but                     8
not                     8
at                      7
they                    7
will                    7
companies               6
google's                6
information             6
this                    6
web                     6
be                      5
even                    5
government              5
has                     5
have                    5
leaders                 5
political               5
their                   5
beijing                 4
could                   4
for                     4
from                    4
some                    4
technology              4
also                    3
are                     3
censors                 3
does                    3
effectively             3
engine                  3
industry                3
international           3
just                    3
mainland                3
may                     3
more                    3
other                   3
own                     3
people                  3
search                  3
users                   3
was                     3
west                    3
what                    3
which                   3
world's                 3
after                   2
american                2
anything                2
believe                 2
by                      2
censorship              2
chief                   2
communications          2
community               2
company                 2
control                 2
core                    2
deal                    2
departure               2
do                      2
each                    2
global                  2
grip                    2
had                     2
he                      2
i                       2
inside                  2
institute               2
issue                   2
issues                  2
january                 2
leadership              2
leave                   2
lieberthal              2
major                   2
media                   2
millions                2
mobile                  2
most                    2
mr                      2
much                    2
no                      2
now                     2
official                2
one                     2
politicized             2
pressure                2
publicly                2
put                     2
rest                    2
rise                    2
simply                  2
space                   2
stance                  2
those                   2
tightened               2
tuesday                 2
under                   2
unstoppable             2
uses                    2
very                    2
well                    2
western                 2
without                 2
world                   2
xiao                    2
350                     1
abandon                 1
about                   1
absolute                1
academy                 1
access                  1
acknowledge             1
administration          1
adopt                   1
adviser                 1
afar                    1
agenda                  1
aggressive              1
ahead                   1
all                     1
among                   1
anyone                  1
appear                  1
argue                   1
art                     1
assured                 1
author                  1
authoritarian           1
aware                   1
away                    1
balanced                1
battle                  1
bedrock                 1
began                   1
begin                   1
between                 1
big                     1
biggest                 1
bill                    1
bishop                  1
blog                    1
borders                 1
both                    1
broadband               1
broader                 1
brook                   1
brookings               1
builds                  1
came                    1
cancel                  1
cause                   1
cellular                1
challenged              1
change                  1
chinalabscom            1
choose                  1
chose                   1
cited                   1
climate                 1
clinton                 1
collaborators           1
commercial              1
commonly                1
communist               1
company's               1
competition             1
concerns                1
conclusion              1
confrontation           1
connections             1
cooperating             1
copy                    1
correct                 1
cost                    1
countervailing          1
country                 1
couple                  1
course                  1
daily                   1
dams                    1
day                     1
decades                 1
decision                1
declaring               1
declining               1
deeply                  1
defend                  1
degree                  1
democratic              1
despite                 1
determination           1
development             1
did                     1
digicha                 1
digital                 1
dilemma                 1
diplomacy               1
director                1
domestic                1
down                    1
early                   1
economic                1
economically            1
economy                 1
editor                  1
effort                  1
employs                 1
end                     1
engaged                 1
enjoys                  1
entrepreneur            1
especially              1
everyone                1
exclude                 1
executive               1
exit                    1
expected                1
experiment              1
experts                 1
fact                    1
failed                  1
fang                    1
fast                    1
fealty                  1
fear                    1
filtering               1
finally                 1
fine                    1
firewall                1
flow                    1
force                   1
forced                  1
forcing                 1
former                  1
found                   1
founder                 1
four-year               1
free-speech             1
freedom                 1
fully                   1
g                       1
giant                   1
given                   1
good                    1
googlecomhk             1
got                     1
greater                 1
growth                  1
harder                  1
having                  1
healthy                 1
hegemony                1
here                    1
high-speed              1
highly                  1
history                 1
hole                    1
home                    1
hong                    1
hosted                  1
ideological             1
if                      1
image                   1
imperfections           1
implication             1
inc                     1
increasingly            1
influence               1
influential             1
inhibited               1
innovation              1
innovator               1
instability             1
institution             1
interest                1
interests               1
intervention            1
interview               1
intransigent            1
invested                1
itself                  1
juggernaut              1
kenneth                 1
keys                    1
kingdom                 1
know                    1
knows                   1
kong-based              1
lack                    1
largest                 1
lead                    1
least                   1
leaves                  1
leaving                 1
limitless               1
lined                   1
lines                   1
links                   1
little                  1
longer                  1
magic                   1
maintain                1
majority                1
make                    1
mantra                  1
many                    1
means                   1
million                 1
monday                  1
motivation              1
move                    1
muscular                1
nation                  1
nationalism             1
nations                 1
negotiate               1
never                   1
new                     1
newly                   1
norms                   1
noticeably              1
number                  1
officials               1
once                    1
online                  1
operations              1
opposition              1
or                      1
other's                 1
outburst                1
over                    1
page                    1
partly                  1
partners                1
parts                   1
party's                 1
past                    1
perhaps                 1
pitch                   1
placed                  1
players                 1
plug                    1
policies                1
policy                  1
post-google             1
potential               1
power                   1
predicted               1
premier                 1
principle               1
privately               1
problems                1
professor               1
profits                 1
prominence              1
promoted                1
prove                   1
provider                1
proxy                   1
pulling                 1
pushing                 1
qiang                   1
quickly                 1
rail                    1
range                   1
rapid                   1
recession               1
redirecting             1
reinforced              1
release                 1
released                1
remained                1
remaining               1
replacement             1
research                1
restrictions            1
right                   1
rights                  1
rivals                  1
robust                  1
round                   1
rule                    1
run                     1
sales                   1
same                    1
saw                     1
say                     1
says                    1
scholar                 1
sciences                1
sclerotic               1
scrapping               1
sector                  1
sectors                 1
see                     1
seemingly               1
seen                    1
serious                 1
sheer                   1
should                  1
shut                    1
site                    1
skyscrapers             1
smooth                  1
so                      1
social                  1
society                 1
soft-power              1
software                1
sophisticated           1
sovereignty             1
spurred                 1
stage                   1
staggered               1
stagnate                1
states                  1
steadily                1
steep                   1
stifle                  1
still                   1
stop                    1
studies                 1
submitting              1
substantial             1
sully                   1
supervision             1
support                 1
system                  1
taiwan                  1
talks                   1
tens                    1
than                    1
think                   1
thinking                1
third-rail              1
though                  1
through                 1
tibet                   1
time                    1
times                   1
topics                  1
tougher                 1
toward                  1
trade                   1
traditional             1
transplant              1
treating                1
tsinghua                1
understand              1
united                  1
university              1
up                      1
us                      1
used                    1
variegated              1
vast                    1
view                    1
viewed                  1
vitriol                 1
want                    1
weaken                  1
when                    1
who                     1
wide                    1
widely                  1
within                  1
won't                   1
worst                   1
would                   1
xingdong                1
xuetong                 1
yan                     1
years                   1
yunquan                 1
zhang                   1
